City,State,Population,Population Male,Population Female,Sex Ratio Males per 100 Females,Under 5 Years,5 to 9 years,10 to 14 years,15 to 19 Years,20 to 24 Years,25 to 34 Years,35 to 44 Years,45 to 54 Years,55 to 59 Years,60 to 64 Years,65 to 74 Years,75 to 84 Years,85 Years or Over,Median Age,Under 18 Years,18 Years and Over,21 Years and Over,62 Years and Over,65 Years and Over,Males 18 Years and Over,Females 18 Years and Over,18 and Over Sex Ratio 1 Male to 100 Females,Males 65 Years and Over,Females 65 Years and Over,65 and Over Sex Ratio 1 Male to 100 Females,Single Race Population,Multiracial Population,White Population,Black or African American Population,American Indian and Alaska Native,Cherokee Tribal Grouping,Chippewa Tribal Grouping,Navajo Tribal Grouping,Sioux Tribal Grouping,Asian Population,Asian Indian Population,Chinese Population,Filipino Population,Japanese Population,Korean Population,Vietnamese Population,Other Asian Population,Native Hawaiian and Other Pacific Islander Population,Native Hawaiian Population,Guamanian or Chamorro Population,Samoan Population,Other Pacific Islander Population,Other Race Population,White and Black or African American Multiracial Population,White and American Indian and Alaskan Native Multiracial Population,White and Asian Multiracial Population,Black or African American and American Indian and Alaskan Native Multiracial Population,Hispanic or Latino Population,Mexican Population,Puerto Rican Population,Cuban Population,Other Hispanic or Latino Population,Elligible Voter Population,Elligible Male Voter Population,Elligible Female Voter Population
Bakersfield,CA,900202,460491,439711,104.7,68101,71035,77892,67958,63260,141225,115848,99441,47911,45871,62538,29084,10038,31.9,259120,641082,602410,127906,101660,329323,311759,105.6,46551,55109,84.5,865699,34503,645240,46432,8906,-999999999,-999999999,-999999999,-999999999,42066,11449,4160,17760,549,1224,1792,5132,907,-999999999,-999999999,-999999999,-999999999,122148,5958,6720,6339,696,491545,452273,6675,623,31974,536316,274789,261527
Baltimore,MD,2800053,1348594,1451459,92.9,165452,164949,177670,175215,169937,400722,361026,357818,188645,193014,261180,129037,55388,38.6,609673,2190380,2081465,557973,445605,1038125,1152255,90.1,191819,253786,75.6,2709880,90173,1659058,832493,8053,-999999999,-999999999,-999999999,-999999999,158977,47731,27720,15005,3041,22258,10484,32738,1097,308,337,282,170,50202,34297,7733,23980,4101,175277,42110,27576,8570,97021,2080436,985492,1094944
Bangor,ME,152148,75555,76593,98.6,6727,6186,8341,11023,10580,20402,16739,19865,11360,11499,17416,9129,2881,42.7,26834,125314,116916,36093,29426,61656,63658,96.9,13292,16134,82.4,149184,2964,142957,1313,2101,-999999999,-999999999,-999999999,-999999999,1708,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,65,-999999999,-999999999,-999999999,-999999999,1040,748,1211,229,0,2236,653,521,34,1028,123660,60634,63026
Barnstable Town,MA,212990,102830,110160,93.3,7340,7720,9958,10315,10095,19619,19425,24401,16632,20324,38212,20206,8743,54.1,31677,181313,175759,80000,67161,85700,95613,89.6,29823,37338,79.9,207855,5135,194743,6639,1590,-999999999,-999999999,-999999999,-999999999,2294,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,2589,2102,279,1878,0,7235,818,1947,807,3663,174786,81503,93283
Bay City,MI,103126,50916,52210,97.5,5619,5102,5916,5876,5696,12189,12164,12946,8306,7925,12129,7689,1569,44.1,20615,82511,79444,25682,21387,40547,41964,96.6,9664,11723,82.4,100345,2781,97404,1778,204,-999999999,-999999999,-999999999,-999999999,406,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,553,-999999999,-999999999,-999999999,-999999999,5680,-999999999,-999999999,-999999999,-999999999,82219,40547,41672
Beaumont,TX,392563,196923,195640,100.7,26002,29538,23517,24783,25925,55106,48885,46898,25229,27580,33991,18614,6495,37.4,95113,297450,283665,75507,59100,148903,148547,100.2,25583,33517,76.3,387732,4831,272128,97103,1197,-999999999,-999999999,-999999999,-999999999,10437,2252,851,551,0,326,5303,1154,853,-999999999,-999999999,-999999999,-999999999,6014,2568,672,537,152,66091,58172,1772,420,5727,278237,139275,138962
Beaver Dam,WI,87839,44550,43289,102.9,3830,4617,6300,5273,4353,10482,10754,12268,7106,6532,9233,4751,2340,42.9,18444,69395,66878,20271,16324,36195,33200,109,7456,8868,84.1,86533,1306,82571,2659,406,-999999999,-999999999,-999999999,-999999999,526,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,62,-999999999,-999999999,-999999999,-999999999,309,-999999999,-999999999,-999999999,-999999999,4435,-999999999,-999999999,-999999999,-999999999,68040,35349,32691
Beckley,WV,115767,57675,58092,99.3,5530,7093,7297,6063,6617,13056,14272,14881,6707,9157,15094,6536,3464,43.9,23780,91987,88745,31331,25094,45623,46364,98.4,11304,13790,82,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,1834,-999999999,-999999999,-999999999,-999999999,91498,45378,46120
Bellingham,WA,229247,112924,116323,97.1,11728,13700,11631,15438,23820,29325,28365,26152,10852,16340,25868,11456,4572,38.9,44070,185177,172637,50524,41896,90307,94870,95.2,19370,22526,86,215573,13674,188188,1914,5208,-999999999,-999999999,-999999999,-999999999,8771,2354,2540,634,454,679,1284,826,861,-999999999,-999999999,-999999999,-999999999,10631,2409,2852,3678,38,22489,16297,780,292,5120,176026,85863,90163
Bend,OR,197692,98322,99370,98.9,8409,12479,10182,11665,9917,24463,26366,26054,12812,14675,25421,11767,3482,44,39049,158643,153513,49820,40670,77909,80734,96.5,19050,21620,88.1,192568,5124,182152,1355,2791,-999999999,-999999999,-999999999,-999999999,2762,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,347,-999999999,-999999999,-999999999,-999999999,3161,715,930,951,0,16324,-999999999,-999999999,-999999999,-999999999,155747,76052,79695
Billings,MT,181667,90260,91407,98.7,9941,12004,12827,10519,9352,23416,23987,21345,11950,12748,19910,9005,4663,40.3,41523,140144,134778,40373,33578,68737,71407,96.3,15329,18249,84,175688,5979,163476,1645,7705,-999999999,-999999999,-999999999,-999999999,1247,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,1615,959,1605,686,140,10083,7450,372,490,1771,138233,67945,70288
Binghamton,NY,238691,118441,120250,98.5,13281,12004,13181,17789,21131,27006,25364,26888,17249,17769,25428,15821,5780,40.8,46726,191965,177536,57330,47029,93908,98057,95.8,21068,25961,81.2,229946,8745,207651,9433,294,-999999999,-999999999,-999999999,-999999999,9578,2443,4410,188,354,563,870,750,0,-999999999,-999999999,-999999999,-999999999,2990,5948,812,1120,331,9481,696,4943,93,3749,185485,91152,94333
Birmingham,AL,1090435,520761,569674,91.4,66828,67783,71776,69200,65408,151689,142217,134806,71261,70760,108244,52275,18188,38.8,248870,841565,799304,217524,178707,395001,446564,88.5,77171,101536,76,1072734,17701,702602,334754,4437,-999999999,-999999999,-999999999,-999999999,16013,5336,3985,1251,429,1299,1119,2594,0,-999999999,-999999999,-999999999,-999999999,14928,6545,3572,3123,944,49544,31065,3738,2686,12055,820223,384102,436121
Bismarck,ND,129115,63791,65324,97.7,8133,7101,9494,8220,8786,17660,17049,13780,7836,9286,12258,6822,2690,37.7,29499,99616,95046,26844,21770,49169,50447,97.5,9911,11859,83.6,125185,3930,114847,3338,4857,-999999999,-999999999,-999999999,-999999999,1030,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,157,-999999999,-999999999,-999999999,-999999999,956,1084,2006,490,0,3614,-999999999,-999999999,-999999999,-999999999,98262,48305,49957
