City,State,Passenger Miles
Santa Rosa,CA,"7,632,918 "
Chattanooga,TN,"7,605,488 "
Savannah,GA,"7,603,742 "
Livermore,CA,"7,602,329 "
Flagstaff,AZ,"7,519,020 "
Fairfield,CA,"7,492,473 "
Ann Arbor,MI,"7,463,845 "
Wichita,KS,"7,413,153 "
Pinole,CA,"7,385,352 "
Rochester,MN,"7,367,360 "
Alexandria,VA,"7,320,892 "
Tampa,FL,"7,290,643 "
Salisbury,MD,"7,198,273 "
York,PA,"7,173,243 "
Lincoln,NE,"7,144,634 "
Pensacola,FL,"7,132,138 "
Orlando,FL,"7,127,339 "
Oakland,CA,"7,095,706 "
Dallas,TX,"7,084,735 "
Vestal,NY,"7,028,557 "
Pinole,CA,"7,016,090 "
San Antonio,TX,"7,003,796 "
San Diego,CA,"6,977,458 "
Marietta,GA,"6,972,780 "
Santa Rosa,CA,"6,948,210 "
San Diego,CA,"6,917,513 "
Stockton,CA,"6,910,623 "
State College,PA,"6,891,858 "
Blacksburg,VA,"6,882,899 "
Everett,WA,"6,849,311 "
Lowell,MA,"6,815,850 "
Rockford,IL,"6,766,280 "
Portland,ME,"6,733,632 "
Normal,IL,"6,725,658 "
Columbia,SC,"6,587,166 "
Bloomington,IN,"6,510,947 "
Greensburg,PA,"6,495,222 "
Napa,CA,"6,494,400 "
Lakeland,FL,"6,480,784 "
Medford,OR,"6,464,994 "
Williamsport,PA,"6,437,785 "
Brownsville,TX,"6,339,697 "
Louisville,KY,"6,339,543 "
Meridian,ID,"6,306,913 "
St. Louis,MO,"6,305,571 "
Arlington,VA,"6,287,868 "
Athens,GA,"6,206,878 "
Greensboro,NC,"6,165,674 "
Weslaco,TX,"6,135,877 "
Norwalk,CA,"6,132,234 "
Nashville,TN,"6,116,191 "
Naples,FL,"6,096,967 "
Washington,DC,"6,085,819 "
Brownsville,TX,"6,016,069 "
San Antonio,TX,"5,996,008 "
Boston,MA,"5,976,543 "
York,PA,"5,955,290 "
Arlington Heights,IL,"5,936,929 "
Sarasota,FL,"5,924,889 "
Lewisville,TX,"5,901,029 "
Weehawken,NJ,"5,887,776 "
Fargo,ND,"5,852,450 "
Lewisville,TX,"5,828,301 "
Cedar Rapids,IA,"5,806,405 "
Youngstown,OH,"5,802,678 "
