City,County,State,City Latitude,City Longitude,Closest Airport,Closest Airport ICAO,Distance to Airport KM,Distance to Airport Miles
Basin,Big Horn,WY,44.3804,-108.0466,Billings Logan International Airport,KBIL,163.42140135360117,101.54535226476878
Dryden,Lee,VA,36.7764,-82.9433,Greenville Spartanburg International Airport,KGSP,219.08082212410983,136.13051334024468
Caraway,Craighead,AR,35.7598,-90.3224,Memphis International Airport,KMEM,85.70415261447074,53.25409215503682
Redkey,Jay,IN,40.3483,-85.1539,Fort Wayne International Airport,KFWA,70.1613004698444,43.59621146650778
Grantsburg,Burnett,WI,45.7813,-92.6836,Minneapolis-St Paul International/Wold-Chamberlain Airport,KMSP,108.48688132383938,67.41062363245167
Dover Beaches South,Ocean,NJ,39.9549,-74.0756,John F Kennedy International Airport,KJFK,80.20672550542238,49.83814927537492
Shell Ridge,Contra Costa,CA,37.906,-122.0345,Metropolitan Oakland International Airport,KOAK,26.271968814864966,16.32464478885522
Fredonia,Coconino,AZ,36.9617,-112.5195,McCarran International Airport,KLAS,254.83802375149983,158.34900862409796
Entiat,Chelan,WA,47.678,-120.2176,Boeing Field King County International Airport,KBFI,157.1339518493746,97.63851222138811
Erin,Houston,TN,36.3159,-87.7026,Nashville International Airport,KBNA,94.32752714819124,58.61240873710417
Ruhenstroth,Douglas,NV,38.8913,-119.6833,Reno Tahoe International Airport,KRNO,67.97732835795917,42.23915409457912
Barrackville,Marion,WV,39.5013,-80.1696,Pittsburgh International Airport,KPIT,110.23744129817167,68.49837118437449
Bradenton Beach,Manatee,FL,27.4649,-82.6957,Sarasota Bradenton International Airport,KSRQ,15.94384262183089,9.907044622538207
Brownsboro,Henderson,TX,32.2985,-95.613,Dallas Fort Worth International Airport,KDFW,149.1499164302963,92.67746255219292
Morningside,Prince George's,MD,38.8266,-76.8895,Baltimore/Washington International Thurgood Marshall Airport,KBWI,43.239361726457304,26.867694083202846
Vardaman,Calhoun,MS,33.8822,-89.1778,Memphis International Airport,KMEM,148.3486774424382,92.17959572082076
Benwood,Marshall,WV,40.0139,-80.7328,Pittsburgh International Airport,KPIT,67.9709691610145,42.235202672742574
Benton,Polk,TN,35.1749,-84.6516,Hartsfield Jackson Atlanta International Airport,KATL,172.26476985690556,107.04036676370924
Dunnigan,Yolo,CA,38.8926,-121.9741,Sacramento International Airport,KSMF,39.78881264416385,24.723622259279264
Janesville,Lassen,CA,40.2809,-120.5335,Reno Tahoe International Airport,KRNO,108.73128695796363,67.56249025461422
Manly,Worth,IA,43.2881,-93.201,Rochester International Airport,KRST,89.11949989210962,55.376290591360025
Claypool,Gila,AZ,33.406,-110.8421,Phoenix Sky Harbor International Airport,KPHX,108.62289551203098,67.4951389317853
Buhler,Reno,KS,38.1383,-97.7704,Tulsa International Airport,KTUL,272.6518599789013,169.41801341732187
Tower City,Schuylkill,PA,40.5884,-76.553,Philadelphia International Airport,KPHL,136.93166283768244,85.08539165544614
Snyder,Kiowa,OK,34.6552,-98.9533,Fort Worth Meacham International Airport,KFTW,251.5709943295861,156.3189706317681
Roan Mountain,Carter,TN,36.1866,-82.0705,Greenville Spartanburg International Airport,KGSP,144.16850071390732,89.58215429080145
Fincastle,Campbell,TN,36.4038,-84.048,Greenville Spartanburg International Airport,KGSP,235.43748612747876,146.29407328001483
Lampeter,Lancaster,PA,39.9909,-76.242,Philadelphia International Airport,KPHL,86.36219713319863,53.6629820672922
Donovan Estates,Yuma,AZ,32.7094,-114.6782,San Diego International Airport,KSAN,234.9873319644978,146.01436044757835
De Graff,Logan,OH,40.3127,-83.9167,James M Cox Dayton International Airport,KDAY,52.38500918992789,32.550536022356525
Clara City,Chippewa,MN,44.9583,-95.3672,Minneapolis-St Paul International/Wold-Chamberlain Airport,KMSP,169.12868973880538,105.09169689742919
Boulder,Jefferson,MT,46.2358,-112.1198,Billings Logan International Airport,KBIL,280.2196983091177,174.12045020197442
Hurley,Jackson,MS,30.6638,-88.4994,Gulfport Biloxi International Airport,KGPT,61.65192198057739,38.30872874337775
Munday,Knox,TX,33.4471,-99.624,Lubbock Preston Smith International Airport,KLBB,205.18253072955184,127.49451533845851
Shell Rock,Butler,IA,42.7126,-92.5816,Rochester International Airport,KRST,133.11962114006212,82.71669873134577
Freeman,Hutchinson,SD,43.35,-97.4288,Des Moines International Airport,KDSM,369.0742440516311,229.3321059154549
Mount Hope,Fayette,WV,37.8976,-81.1738,Piedmont Triad International Airport,KGSO,228.26930099214556,141.83996948065067
Batesville,Zavala,TX,28.9553,-99.6237,San Antonio International Airport,KSAT,129.11176717013134,80.22633370062512
Florence,Williamson,TX,30.8406,-97.7927,Austin Bergstrom International Airport,KAUS,72.79980679075997,45.235703305342675
Light Oak,Cleveland,NC,35.2867,-81.4775,Charlotte Douglas International Airport,KCLT,49.19545169743598,30.568636855777832
St. Vincent College,Westmoreland,PA,40.2914,-79.4054,Pittsburgh International Airport,KPIT,73.52825203149129,45.688338198710184
Clio,Barbour,AL,31.7085,-85.6109,Birmingham-Shuttlesworth International Airport,KBHM,232.30060762456634,144.34490732040595
Germantown,Clinton,IL,38.5552,-89.5412,St Louis Lambert International Airport,KSTL,75.11879333276491,46.67665475573213
Rock Hall,Kent,MD,39.1392,-76.2428,Baltimore/Washington International Thurgood Marshall Airport,KBWI,36.907491008908025,22.93325197719439
Tiltonsville,Jefferson,OH,40.1721,-80.6973,Pittsburgh International Airport,KPIT,53.01824396383163,32.94400987369882
Ravenna,Muskegon,MI,43.1889,-85.9416,MBS International Airport,KMBS,155.31125298763408,96.50593964242978
Ceredo,Wayne,WV,38.3961,-82.5536,Rickenbacker International Airport,KLCK,160.91367510514075,99.98712339649144
Avila Beach,San Luis Obispo,CA,35.1969,-120.7191,Los Angeles International Airport,KLAX,253.4320201430878,157.47535847473466
Avilla,Saline,AR,34.6988,-92.5813,Memphis International Airport,KMEM,240.66096529987243,149.5397928015401
Long Creek,Macon,IL,39.8052,-88.8474,General Wayne A. Downing Peoria International Airport,KPIA,119.49530842352175,74.25094318949382
Wyoming,Stark,IL,41.0638,-89.7729,General Wayne A. Downing Peoria International Airport,KPIA,44.93496799148367,27.921294982829796
Palestine,Crawford,IL,39.0016,-87.6126,Indianapolis International Airport,KIND,138.4792095320056,86.04699260195376
Somerset,Montgomery,MD,38.9666,-77.0963,Washington Dulles International Airport,KIAD,31.18285596700045,19.37612863164223
Breckenridge,Gratiot,MI,43.4074,-84.4784,MBS International Airport,KMBS,35.0779082239636,21.79640192661413
Britton,Marshall,SD,45.7924,-97.7529,Minneapolis-St Paul International/Wold-Chamberlain Airport,KMSP,368.2872085914769,228.8430647471363
Manawa,Waupaca,WI,44.4613,-88.9204,Austin Straubel International Airport,KGRB,62.802630762677516,39.023746040161846
Hewlett Harbor,Nassau,NY,40.6327,-73.6842,John F Kennedy International Airport,KJFK,8.029838785108204,4.989510561709227
Hagaman,Montgomery,NY,42.9728,-74.1545,Syracuse Hancock International Airport,KSYR,159.3587138644187,99.02091526439048
Buffalo,Scott,IA,41.4666,-90.717,Quad City International Airport,KMLI,17.574260918378467,10.92013959596593
Dike,Grundy,IA,42.4641,-92.6255,Des Moines International Airport,KDSM,134.34041440218374,83.47526450558219
West Chatham,Barnstable,MA,41.6804,-69.9918,General Edward Lawrence Logan International Airport,KBOS,113.09468050317714,70.27377733787579
Osborne,Osborne,KS,39.4405,-98.6994,Kansas City International Airport,KMCI,342.9431671939341,213.09500733109545
